datetime,City,PM2.5,PM10,NO2,SO2,O3,CO,AQI
2025-10-08 09:00,Delhi,85,145,30,8,20,0.5,145
2025-10-08 10:00,Delhi,88,150,32,9,22,0.55,150
2025-10-08 09:00,Mumbai,60,90,20,5,18,0.4,92
2025-10-08 10:00,Mumbai,62,92,21,6,19,0.42,95
2025-10-08 09:00,Pune,55,85,18,4,15,0.35,85
2025-10-08 10:00,Pune,57,87,19,5,16,0.38,88
2025-10-08 09:00,Bangalore,40,50,15,4,10,0.3,50
2025-10-08 10:00,Bangalore,42,52,16,5,12,0.35,52
2025-10-08 09:00,Chennai,38,45,10,3,15,0.25,45
2025-10-08 10:00,Chennai,40,48,12,4,16,0.28,48
2025-10-08 09:00,Hyderabad,45,55,17,5,12,0.3,55
2025-10-08 10:00,Hyderabad,48,58,18,6,14,0.32,58
2025-10-08 09:00,Kolkata,70,120,25,7,18,0.45,120
2025-10-08 10:00,Kolkata,72,125,27,8,20,0.48,125
2025-10-08 09:00,Kochi,35,40,8,2,10,0.2,40
2025-10-08 10:00,Kochi,37,42,9,3,12,0.22,42
2025-10-08 09:00,Jaipur,65,110,22,6,16,0.4,110
2025-10-08 10:00,Jaipur,67,115,24,7,18,0.42,115
2025-10-08 09:00,Lucknow,55,90,20,5,15,0.35,90
2025-10-08 10:00,Lucknow,57,93,21,6,16,0.38,93
2025-10-08 09:00,Bhopal,50,80,18,5,14,0.35,80
2025-10-08 10:00,Bhopal,52,82,19,5,15,0.36,82
2025-10-08 09:00,Raipur,48,78,17,4,13,0.32,78
2025-10-08 10:00,Raipur,50,80,18,5,14,0.34,80
2025-10-08 09:00,Shimla,30,35,5,2,8,0.15,35
2025-10-08 10:00,Shimla,32,37,6,3,9,0.18,37
2025-10-08 09:00,Srinagar,28,32,4,1,6,0.12,32
2025-10-08 10:00,Srinagar,30,34,5,1,7,0.14,34
2025-10-08 09:00,Leh,25,28,3,1,5,0.1,28
2025-10-08 10:00,Leh,26,29,4,1,6,0.12,29
2025-10-08 09:00,Port Blair,40,45,10,3,12,0.25,45
2025-10-08 10:00,Port Blair,42,48,12,3,14,0.28,48
2025-10-08 09:00,Kavaratti,38,42,9,2,11,0.22,42
2025-10-08 10:00,Kavaratti,40,44,10,3,12,0.25,44
2025-10-08 09:00,Puducherry,36,40,8,2,10,0.2,40
2025-10-08 10:00,Puducherry,38,42,9,3,11,0.22,42
2025-10-08 09:00,Panaji,34,38,7,2,9,0.18,38
2025-10-08 10:00,Panaji,36,40,8,2,10,0.2,40
2025-10-08 09:00,Chandigarh,45,50,12,4,13,0.3,50
2025-10-08 10:00,Chandigarh,47,52,13,5,14,0.32,52
2025-10-08 09:00,Guwahati,55,85,18,5,16,0.38,85
2025-10-08 10:00,Guwahati,57,87,19,5,17,0.4,87
2025-10-08 09:00,Imphal,50,80,17,5,15,0.35,80
2025-10-08 10:00,Imphal,52,82,18,5,16,0.36,82
2025-10-08 09:00,Agartala,48,78,16,4,14,0.34,78
2025-10-08 10:00,Agartala,50,80,17,5,15,0.35,80
2025-10-08 09:00,Gangtok,35,40,10,3,12,0.3,40
2025-10-08 10:00,Gangtok,37,42,11,3,13,0.32,42
2025-10-08 09:00,Aizawl,30,35,8,2,10,0.25,35
2025-10-08 10:00,Aizawl,32,37,9,2,11,0.27,37
2025-10-08 09:00,Shillong,33,38,9,2,11,0.26,38
2025-10-08 10:00,Shillong,35,40,10,3,12,0.28,40
2025-10-08 09:00,Itanagar,28,32,5,1,7,0.15,32
2025-10-08 10:00,Itanagar,30,34,6,1,8,0.17,34
2025-10-08 09:00,Ranchi,40,45,12,3,14,0.3,45
2025-10-08 10:00,Ranchi,42,48,13,3,15,0.32,48
2025-10-08 09:00,Gandhinagar,45,50,14,4,15,0.35,50
2025-10-08 10:00,Gandhinagar,47,52,15,5,16,0.37,52
2025-10-08 09:00,Lucknow,55,90,20,5,15,0.35,90
2025-10-08 10:00,Lucknow,57,92,21,6,16,0.37,92
2025-10-08 09:00,Uttarakhand,42,50,12,4,13,0.32,50
2025-10-08 10:00,Uttarakhand,44,52,13,5,14,0.34,52
2025-10-08 09:00,West Bengal,60,95,20,5,18,0.4,95
2025-10-08 10:00,West Bengal,62,97,21,6,19,0.42,97
